ParkName,Rank,Value,PercentOfTotal
Chaco Culture NHP,289,"47,342",0.01%
Eisenhower NHS,290,"47,277",0.01%
Marsh-Billings-Rockefeller NHP,291,"45,979",0.01%
Big Hole NB,292,"45,861",0.01%
Horseshoe Bend NMP,293,"45,372",0.01%
Pecos NHP,294,"43,834",0.01%
Fort Laramie NHS,295,"42,892",0.01%
Thomas Edison NHP,296,"42,224",0.01%
James A. Garfield NHS,297,"41,305",0.01%
New Orleans Jazz NHP,298,"41,049",0.01%
John Muir NHS,299,"40,725",0.01%
Tumacacori NHP,300,"39,704",0.01%
Ulysses S. Grant NHS,301,"39,449",0.01%
Women's Rights NHP,302,"39,064",0.01%
Lake Chelan NRA,303,"38,785",0.01%
Weir Farm NHS,304,"38,700",0.01%
Chamizal NMEM,305,"38,228",0.01%
North Cascades NP,306,"38,208",0.01%
Bluestone NSR,307,"37,663",0.01%
Buck Island Reef NM,308,"37,085",0.01%
Sagamore Hill NHS,309,"36,738",0.01%
Tuskegee Institute NHS,310,"36,395",0.01%
Charles Pinckney NHS,311,"35,495",0.01%
Hovenweep NM,312,"35,399",0.01%
Friendship Hill NHS,313,"34,159",0.01%
Tallgrass Prairie NPRES,314,"33,750",0.01%
William Howard Taft NHS,315,"32,396",0.01%
Saint-Gaudens NHP,316,"31,759",0.01%
Salinas Pueblo Missions NM,317,"31,672",0.01%
Harry S Truman NHS,318,"30,746",0.01%
Tuskegee Airmen NHS,319,"30,097",0.01%
Cane River Creole NHP,320,"29,922",0.01%
Tonto NM,321,"28,853",0.01%
Arkansas Post NMEM,322,"28,519",0.01%
Hampton NHS,323,"28,234",0.01%
Pipe Spring NM,324,"27,482",0.01%
Theodore Roosevelt Inaugural NHS,325,"26,994",0.01%
Fort Larned NHS,326,"26,958",0.01%
Isle Royale NP,327,"26,410",0.01%
Theodore Roosevelt Birthplace NHS,328,"25,978",0.01%
Grant-Kohrs Ranch NHS,329,"25,043",0.01%
John F. Kennedy NHS,330,"24,838",0.01%
Booker T. Washington NM,331,"24,640",0.01%
Fort Scott NHS,332,"24,068",0.01%
Hagerman Fossil Beds NM,333,"23,768",0.01%
Bent's Old Fort NHS,334,"21,674",0.01%
Brown v. Board of Education NHS,335,"21,413",0.01%
Springfield Armory NHS,336,"20,979",0.01%
